Age,Salary,YearsAtCompany,JobSatisfaction,WorkHours,Promotions,DistanceFromHome,Attrition
59,59782,27,2,49,3,12,0
49,103533,31,2,37,2,30,0
35,97684,9,4,55,5,21,1
28,104558,17,3,62,5,2,0
41,106422,3,3,55,2,18,1
59,181328,8,10,66,2,28,1
39,186077,6,5,59,3,4,0
43,31638,7,3,60,1,42,1
31,62419,6,7,62,0,43,1
31,58377,2,5,40,1,6,0
44,131244,16,4,70,1,38,1
56,199188,1,3,34,4,9,0
44,192706,14,4,31,0,20,0
23,48382,28,2,42,2,45,1
42,178466,21,1,47,1,30,1
22,92789,3,3,55,3,37,1
44,135634,5,2,54,1,38,1
50,156936,25,1,73,2,4,0
58,124572,10,1,43,1,38,1
22,196294,25,2,34,5,13,0
41,169738,16,9,71,4,35,1
53,148664,23,5,31,4,30,0
32,177027,27,9,33,1,42,0
42,135674,34,8,41,4,4,0
45,128533,30,6,40,3,25,0
47,106845,12,1,33,0,31,1
48,94590,34,10,72,1,47,1
36,152775,15,5,38,3,12,0
35,91471,14,1,39,5,15,0
23,68298,17,7,56,3,26,0
57,73924,26,10,35,3,10,0
27,172781,34,8,44,5,12,0
41,34726,34,8,71,2,22,0
29,65542,27,7,60,1,40,1
59,176317,8,2,51,1,21,1
38,59753,11,5,35,1,35,0
24,104788,14,4,62,0,7,1
45,46316,20,5,58,3,18,1
34,109698,34,10,50,1,27,0
29,40960,32,9,59,4,35,0
46,55791,18,4,50,2,47,1
22,50216,22,8,65,5,2,0
40,188539,12,8,51,5,32,0
48,89427,0,2,75,0,15,1
27,137470,28,6,49,5,45,0
28,98290,23,5,51,2,24,1
55,72014,15,2,69,3,20,1
34,160150,24,10,40,5,10,0
37,75519,22,4,76,5,24,1
56,29042,27,7,60,4,24,0
24,74052,15,1,69,3,24,1
22,39389,10,9,42,1,40,1
26,120961,2,10,47,2,48,1
24,93111,14,1,51,5,48,1
49,130058,0,5,46,4,34,1
38,118715,6,7,67,2,41,1
46,75733,0,8,54,0,40,1
54,59754,31,2,61,4,11,0
30,174696,8,4,44,0,26,0
56,110886,28,2,42,5,1,0
34,182753,25,4,55,4,30,0
51,114524,22,6,79,1,43,1
35,106006,28,6,40,2,18,0
28,49704,32,2,42,2,26,0
34,119913,6,4,62,3,47,1
43,119108,11,4,79,4,9,1
41,32493,30,1,66,4,9,1
36,94639,31,2,67,0,1,0
38,79383,19,3,30,4,7,0
44,159066,16,5,68,2,44,1
46,72234,2,8,56,4,42,1
45,153674,0,6,65,3,16,1
49,30594,26,3,61,3,38,1
35,32371,32,6,70,2,11,0
21,72315,19,7,44,2,25,0
45,152251,13,6,60,2,29,1
27,104526,4,10,35,4,19,0
29,172698,22,6,54,4,18,0
44,111005,14,1,78,1,47,1
21,130573,5,3,47,5,29,1
28,163202,32,7,51,5,16,0
44,162900,18,4,60,0,46,1
31,82514,12,4,65,4,40,1
37,173955,28,7,38,1,8,0
28,199131,5,9,75,1,34,1
55,199004,14,2,32,3,6,0
55,100986,15,9,62,4,45,1
53,110959,23,3,56,1,45,1
25,27035,22,6,72,3,30,1
59,134767,9,4,30,0,44,1
48,196817,16,1,73,3,34,1
27,42241,29,9,38,0,21,0
29,77975,9,6,34,5,12,0
28,179226,18,8,44,5,49,0
32,181697,28,2,79,2,6,0
54,81396,1,7,38,2,39,1
53,143920,18,6,74,3,6,0
43,169403,6,2,57,2,4,1
44,111226,25,2,42,4,9,0
57,109719,14,4,53,3,5,0
55,88014,2,4,74,1,10,1
42,64346,15,3,39,4,47,1
47,95411,1,8,71,3,8,0
55,168326,30,7,51,5,23,0
21,184693,27,2,68,0,4,0
55,101441,6,3,51,2,37,1
57,71121,29,10,66,2,7,0
34,85197,6,9,68,2,6,0
23,109577,28,5,49,3,45,1
21,119634,23,2,39,4,42,1
25,198503,3,3,39,0,15,1
46,125211,28,8,55,2,35,0
34,160909,4,4,54,4,32,1
59,168687,28,2,57,1,14,0
47,26466,29,2,42,5,35,0
29,55771,28,6,44,1,11,0
35,108886,25,8,35,0,10,0
35,90911,18,7,41,2,17,0
46,176818,25,4,48,1,13,0
33,113422,26,2,61,5,34,1
52,98369,29,9,40,4,45,0
59,26893,29,4,67,4,5,0
52,55573,2,9,62,1,48,1
24,121907,6,5,31,2,10,0
50,196946,8,7,44,5,32,0
57,124956,12,5,65,0,12,0
43,143580,14,2,34,2,13,0
59,189439,4,6,44,3,21,1
